prompt_head,prompt_length,model,hits,createdAt,lastUsedAt
"outline the economics of the rules of shogi, and how it relates to the standardisation of railway gauges?",105,local-small,25,2026-08-24 18:01:41.784,2026-08-24 18:02:14.428
"summarise the current understanding of coral bleaching thresholds, and how it relates to the standardisation of railway ",127,local-small,21,2026-08-24 18:01:41.592,2026-08-24 18:02:13.561
"outline the economics of antibiotic resistance in hospitals, and how it relates to glacial moraine formation?",109,local-small,20,2026-08-24 18:01:41.154,2026-08-24 18:02:09.693
"what would change if we could measure peat bog preservation of bodies, and how it relates to pension fund duration match",124,local-small,19,2026-08-24 18:01:43.161,2026-08-24 18:02:11.829
"outline the economics of nitrogen fixation by legumes, and how it relates to pension fund duration matching?",108,local-small,19,2026-08-24 18:01:44.614,2026-08-24 18:02:13.699
"describe the historical development of byzantine mosaic techniques, and how it relates to cryptographic hash collisions?",120,local-small,17,2026-08-24 18:01:41.292,2026-08-24 18:02:13.633
"what would change if we could measure byzantine mosaic techniques, and how it relates to sleep cycles in marine mammals?",120,local-small,17,2026-08-24 18:01:41.358,2026-08-24 18:02:14.294
"what commonly goes wrong with birdsong dialects by region, and how it relates to the printing press and literacy?",113,local-small,15,2026-08-24 18:01:41.761,2026-08-24 18:02:08.893
"what would change if we could measure birdsong dialects by region, and how it relates to silk production in ancient chin",122,local-small,15,2026-08-24 18:01:42.225,2026-08-24 18:02:14.36
"describe an experiment that would test the migration of arctic terns, and how it relates to the rules of shogi?",111,local-small,14,2026-08-24 18:01:41.18,2026-08-24 18:02:10.896
"describe an experiment that would test pension fund duration matching, and how it relates to the design of suspension br",126,local-small,14,2026-08-24 18:01:42.005,2026-08-24 18:02:14.178
"summarise the current understanding of antibiotic resistance in hospitals, and how it relates to the history of the ship",135,local-small,14,2026-08-24 18:01:43.08,2026-08-24 18:02:13.498
"outline the economics of monsoon formation over india, and how it relates to the design of suspension bridges?",110,local-small,12,2026-08-24 18:01:42.932,2026-08-24 18:02:12.694
"explain the main mechanism behind container ship routing in ice, and how it relates to the invention of double entry boo",129,local-small,11,2026-08-24 18:01:41.809,2026-08-24 18:02:13.762
"describe an experiment that would test coffee leaf rust epidemics, and how it relates to the design of suspension bridge",122,local-small,11,2026-08-24 18:01:41.914,2026-08-24 18:02:13.427
"explain the main mechanism behind the great emu war, and how it relates to urban heat island effects?",101,local-small,11,2026-08-24 18:01:44.019,2026-08-24 18:02:13.294
"summarise the current understanding of birdsong dialects by region, and how it relates to the chemistry of fireworks?",117,local-small,10,2026-08-24 18:01:41.095,2026-08-24 18:02:14.494
"compare two competing explanations for the printing press and literacy, and how it relates to the standardisation of rai",132,local-small,10,2026-08-24 18:01:41.268,2026-08-24 18:02:14.561
"describe the historical development of enzyme kinetics at low temperature, and how it relates to peat bog preservation o",129,local-small,9,2026-08-24 18:01:40.857,2026-08-24 18:02:13.093
"compare two competing explanations for the invention of double entry bookkeeping, and how it relates to tidal locking of",127,local-small,9,2026-08-24 18:01:44.771,2026-08-24 18:02:14.627
"what would change if we could measure enzyme kinetics at low temperature, and how it relates to the history of the shipp",134,local-small,2,2026-08-24 18:01:49.018,2026-08-24 18:02:01.715
"explain the main mechanism behind inventory turnover in retail, and how it relates to the abolition of the slave trade?",119,local-small,1,2026-08-24 18:01:42.101,2026-08-24 18:01:49.194
"compare two competing explanations for the abolition of the slave trade, and how it relates to urban heat island effects",121,local-small,1,2026-08-24 18:01:46.346,2026-08-24 18:02:03.316
"what are the practical consequences of the economics of rent control, and how it relates to the evolution of flightless ",126,local-small,1,2026-08-24 18:01:49.861,2026-08-24 18:01:52.394
"what are the practical consequences of coral bleaching thresholds, and how it relates to the abolition of the slave trad",122,local-small,1,2026-08-24 18:01:55.366,2026-08-24 18:02:13.25
"summarise the current understanding of insurance underwriting cycles, and how it relates to the acoustics of concert hal",123,local-small,1,2026-08-24 18:01:58.117,2026-08-24 18:02:05.119
"what are the practical consequences of silk production in ancient china, and how it relates to sleep cycles in marine ma",126,local-small,1,2026-08-24 18:01:59.062,2026-08-24 18:02:09.444
"what does the evidence say about desalination by reverse osmosis, and how it relates to lithium extraction from brine?",118,local-small,1,2026-08-24 18:01:59.282,2026-08-24 18:02:12.316
"describe the historical development of the domestication of horses, and how it relates to tidal locking of moons?",113,local-small,1,2026-08-24 18:02:02.209,2026-08-24 18:02:06.646
"outline the economics of the economics of rent control, and how it relates to urban heat island effects?",104,local-small,1,2026-08-24 18:02:06.509,2026-08-24 18:02:10.514
"describe the historical development of glacial moraine formation, and how it relates to photosynthesis in desert plants?",120,local-small,1,2026-08-24 18:02:08.802,2026-08-24 18:02:13.045
"summarise the current understanding of the great emu war, and how it relates to the history of the shipping container?",118,local-small,1,2026-08-24 18:02:09.331,2026-08-24 18:02:13.911
"compare two competing explanations for antibiotic resistance in hospitals, and how it relates to error correcting codes ",131,local-small,0,2026-08-24 18:01:40.691,2026-08-24 18:01:40.691
"explain the main mechanism behind peat bog preservation of bodies, and how it relates to radio propagation in the ionosp",125,local-small,0,2026-08-24 18:01:40.798,2026-08-24 18:01:40.798
"outline the economics of container ship routing in ice, and how it relates to submarine cable repair?",101,local-small,0,2026-08-24 18:01:40.827,2026-08-24 18:01:40.827
"explain the main mechanism behind cryptographic hash collisions, and how it relates to pension fund duration matching?",118,local-small,0,2026-08-24 18:01:41.028,2026-08-24 18:01:41.028
"outline the economics of cryptographic hash collisions, and how it relates to silk production in ancient china?",111,local-small,0,2026-08-24 18:01:41.13,2026-08-24 18:01:41.13
"summarise the current understanding of circadian rhythms in plants, and how it relates to lactose tolerance in adult hum",124,local-small,0,2026-08-24 18:01:41.64,2026-08-24 18:01:41.64
"what commonly goes wrong with error correcting codes in storage, and how it relates to the history of the shipping conta",125,local-small,0,2026-08-24 18:01:42.074,2026-08-24 18:01:42.074
"outline the economics of silk production in ancient china, and how it relates to the domestication of horses?",109,local-small,0,2026-08-24 18:01:42.131,2026-08-24 18:01:42.131
"what would change if we could measure cryptographic hash collisions, and how it relates to the migration of arctic terns",121,local-small,0,2026-08-24 18:01:42.155,2026-08-24 18:01:42.155
"what does the evidence say about peat bog preservation of bodies, and how it relates to the domestication of horses?",116,local-small,0,2026-08-24 18:01:42.352,2026-08-24 18:01:42.352
"what commonly goes wrong with the collapse of the bronze age, and how it relates to the evolution of flightless birds?",118,local-small,0,2026-08-24 18:01:42.475,2026-08-24 18:01:42.475
"explain the main mechanism behind cryptographic hash collisions, and how it relates to zoning laws and housing supply?",118,local-small,0,2026-08-24 18:01:42.656,2026-08-24 18:01:42.656
"what commonly goes wrong with how sourdough starters ferment, and how it relates to inventory turnover in retail?",113,local-small,0,2026-08-24 18:01:43.135,2026-08-24 18:01:43.135
"outline the economics of baroque counterpoint, and how it relates to enzyme kinetics at low temperature?",104,local-small,0,2026-08-24 18:01:43.216,2026-08-24 18:01:43.216
"summarise the current understanding of enzyme kinetics at low temperature, and how it relates to glacial moraine formati",123,local-small,0,2026-08-24 18:01:43.349,2026-08-24 18:01:43.349
"what commonly goes wrong with the collapse of the bronze age, and how it relates to urban heat island effects?",110,local-small,0,2026-08-24 18:01:43.452,2026-08-24 18:01:43.452
"summarise the current understanding of how sourdough starters ferment, and how it relates to nitrogen fixation by legume",122,local-small,0,2026-08-24 18:01:43.94,2026-08-24 18:01:43.94
"outline the economics of the migration of arctic terns, and how it relates to the standardisation of railway gauges?",116,local-small,0,2026-08-24 18:01:44.214,2026-08-24 18:01:44.214
"explain the main mechanism behind circadian rhythms in plants, and how it relates to coffee leaf rust epidemics?",112,local-small,0,2026-08-24 18:01:44.296,2026-08-24 18:01:44.296
"what does the evidence say about the manufacture of window glass, and how it relates to volcanic soil fertility?",112,local-small,0,2026-08-24 18:01:44.339,2026-08-24 18:01:44.339
"what commonly goes wrong with byzantine mosaic techniques, and how it relates to monsoon formation over india?",110,local-small,0,2026-08-24 18:01:44.423,2026-08-24 18:01:44.423
"what would change if we could measure desalination by reverse osmosis, and how it relates to the great emu war?",111,local-small,0,2026-08-24 18:01:44.702,2026-08-24 18:01:44.702
"what commonly goes wrong with glacial moraine formation, and how it relates to nitrogen fixation by legumes?",108,local-small,0,2026-08-24 18:01:44.876,2026-08-24 18:01:44.876
"what does the evidence say about baroque counterpoint, and how it relates to peat bog preservation of bodies?",109,local-small,0,2026-08-24 18:01:44.976,2026-08-24 18:01:44.976
"explain the main mechanism behind container ship routing in ice, and how it relates to peat bog preservation of bodies?",119,local-small,0,2026-08-24 18:01:45.158,2026-08-24 18:01:45.158
"what are the practical consequences of lactose tolerance in adult humans, and how it relates to the design of suspension",129,local-small,0,2026-08-24 18:01:45.616,2026-08-24 18:01:45.616
"what commonly goes wrong with enzyme kinetics at low temperature, and how it relates to the domestication of horses?",116,local-small,0,2026-08-24 18:01:45.649,2026-08-24 18:01:45.649
"explain the main mechanism behind baroque counterpoint, and how it relates to glacial moraine formation?",104,local-small,0,2026-08-24 18:01:45.703,2026-08-24 18:01:45.703
"what does the evidence say about circadian rhythms in plants, and how it relates to the great emu war?",102,local-small,0,2026-08-24 18:01:45.978,2026-08-24 18:01:45.978
"describe the historical development of birdsong dialects by region, and how it relates to the abolition of the slave tra",123,local-small,0,2026-08-24 18:01:46.064,2026-08-24 18:01:46.064
"what does the evidence say about mycorrhizal networks in forests, and how it relates to the abolition of the slave trade",121,local-small,0,2026-08-24 18:01:46.472,2026-08-24 18:01:46.472
"what does the evidence say about the acoustics of concert halls, and how it relates to the manufacture of window glass?",119,local-small,0,2026-08-24 18:01:46.54,2026-08-24 18:01:46.54
"describe the historical development of mycorrhizal networks in forests, and how it relates to the manufacture of window ",126,local-small,0,2026-08-24 18:01:46.812,2026-08-24 18:01:46.812
"summarise the current understanding of the domestication of horses, and how it relates to the manufacture of window glas",122,local-small,0,2026-08-24 18:01:46.879,2026-08-24 18:01:46.879
"describe an experiment that would test inventory turnover in retail, and how it relates to the design of suspension brid",124,local-small,0,2026-08-24 18:01:47.008,2026-08-24 18:01:47.008
"compare two competing explanations for submarine cable repair, and how it relates to volcanic soil fertility?",109,local-small,0,2026-08-24 18:01:47.098,2026-08-24 18:01:47.098
"compare two competing explanations for photosynthesis in desert plants, and how it relates to submarine cable repair?",117,local-small,0,2026-08-24 18:01:47.463,2026-08-24 18:01:47.463
"describe the historical development of circadian rhythms in plants, and how it relates to pension fund duration matching",121,local-small,0,2026-08-24 18:01:47.486,2026-08-24 18:01:47.486
